event_id,event_date,event_time_et,effective_trading_date,event_description,direction,channel,source_url,surprise_reason,market_session,confounding_news,include_high,review_status,notes
WEB20260629,2026-06-28,,2026-06-29,Iran and the United States agreed to halt renewed Gulf hostilities and resume Hormuz talks.,deescalation,internet_narrative_20,https://www.reuters.com/world/asia-pacific/us-carries-out-fresh-strikes-against-iran-after-tanker-struck-hormuz-escalating-2026-06-27/,The weekend agreement reduced the risk that recent tit-for-tat strikes would collapse the interim peace process.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260707,2026-07-07,,2026-07-07,The United States resumed strikes and revoked Iran's oil-sale license after three tankers were hit in Hormuz.,escalation,internet_narrative_20,https://www.reuters.com/world/middle-east/ship-hit-hormuz-millions-march-ayatollah-iran-says-no-talks-unless-trump-halts-2026-07-07/,"The combination of renewed attacks, tanker incidents, and oil sanctions directly increased military and supply risk.",close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260709,2026-07-09,,2026-07-09,Iran attacked U.S. military targets across Gulf states in retaliation for U.S. strikes.,escalation,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-says-it-hits-us-military-targets-gulf-prepares-bury-slain-leader-2026-07-09/,Direct attacks on U.S. facilities widened the conflict and undermined the existing ceasefire.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260713,2026-07-11,,2026-07-13,The United States and Iran agreed to continue talks focused on free access through Hormuz.,deescalation,internet_narrative_20,https://www.reuters.com/world/asia-pacific/trump-says-us-iran-agree-continue-talks-ceasefire-over-2026-07-11/,The weekend announcement improved the diplomatic outlook and addressed the conflict's central energy-market channel.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260715,2026-07-15,,2026-07-15,The United States reimposed its naval blockade and launched strikes; Iran retaliated against U.S. regional sites.,escalation,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-threatens-block-more-vital-seaways-trump-orders-renewed-iran-blockade-2026-07-15/,The renewed blockade and direct exchange of attacks represented a major reversal of de-escalation expectations.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260727,2026-07-25,,2026-07-27,The conflict spread toward the Red Sea and Caspian while Gulf strikes temporarily paused.,escalation,internet_narrative_20,https://www.reuters.com/world/asia-pacific/iran-war-spreads-red-sea-caspian-gulf-quiet-us-forgoes-strikes-2026-07-25/,The weekend development broadened the geographic scope of the war and threatened additional shipping routes.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260805,2026-08-05,,2026-08-05,"Iran, Oman, and the United States were reported close to an agreement on Hormuz access.",deescalation,internet_narrative_20,https://www.aljazeera.com/news/2026/8/5/iran-oman-us-close-to-hormuz-deal-what-do-they-all-want,A prospective shipping agreement could restore a major global oil route and pave the way for wider negotiations.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260901,2026-09-01,,2026-09-01,The United States launched major new strikes on IRGC sites and Iran retaliated against U.S. regional bases.,escalation,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-urges-us-comply-with-interim-deal-after-trump-threatens-further-strikes-2026-09-01/,The largest exchange since July sharply increased military risk and further threatened Hormuz oil flows.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260917,2026-09-17,,2026-09-17,Saudi-Houthi fighting intensified and a tanker caught fire in the Strait of Hormuz as renewed U.S. attacks were considered.,escalation,internet_narrative_20,https://www.reuters.com/world/middle-east/trump-hopes-iran-war-nearing-end-houthi-saudi-fighting-escalates-2026-09-17/,The event simultaneously threatened the Red Sea and Hormuz routes and raised the probability of renewed U.S.-Iran escalation.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
WEB20260922,2026-09-22,,2026-09-22,Iran offered to reopen the Strait of Hormuz within a week if the United States eased military pressure and lifted its blockade.,deescalation,internet_narrative_20,https://www.reuters.com/world/middle-east/iran-ready-reopen-strait-hormuz-if-us-eases-military-pressure-lifts-blockade-2026-09-22/,The conditional reopening offer materially reduced expected near-term oil-supply disruption and revived diplomatic prospects.,close_to_close,internet review completed,0,approved_narrative_20,Independent manually selected 20-day internet-search specification.
N20260302,2026-03-02,,2026-03-02,"How US-Israel attacks on Iran threaten the Strait of Hormuz, oil markets | Israel-Iran conflict News | Oil prices jump as Iran war threatens shipping through strait of Hormuz | Global markets after Iran strikes: oil surges, airlines sink, bonds defy safe-haven playbook | Iran hits Gulf, Israel; Threatens shipping in Strait of Hormuz | How attack on Iran could impact global oil market and economy | Experts weigh potential scenarios for oil if Strait of Hormuz closes | Tanker hit off Iran amid fears of oil price spike | US-sanctioned oil tanker hit off Oman coast",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260303,2026-03-03,,2026-03-03,"Strait of Hormuz: How Iran Conflict Is Disrupting Key Oil Shipping Route | Treasuries Sink as Oil Jump Stokes Inflation Fears: Markets Wrap | Stocks Sell Off as US Attack on Iran Drives Oil Prices Higher | About 10% of global container fleet caught in Hormuz backup, shipping CEO says | Iran War: Oil Price Spike Seen Boosting Canada's Growth, Inflation | Iran declares Strait of Hormuz closed as IRGC threatens oil tankers | 'Live' chance of interest rate hike at March RBA meeting amid oil price spikes affecting inflation, governor says | Reserve Bank of Australia | Strait of Hormuz impasse squeezes world shipping",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260304,2026-03-04,,2026-03-04,"Asia stocks fall for third day, oil edges up as markets track Iran war | Global stock markets tumble as Trump bid to avert oil crisis in strait of Hormuz fails to reassure | Tanker heads to UAE port via Strait of Hormuz to load oil, sources say | European markets: Stoxx 600, FTSE, DAX, oil prices, Middle East latest | South Korea's stock market in meltdown amid US-Iran war | Financial Markets News | UAE stocks sell off as markets reopen after Iranian missile strikes | IRGC says Iran in 'complete control' of Strait of Hormuz amid Trump threats | Oil and Gas News | Treasury Secretary Bessent says U.S. will make 'series of announcements' to support oil trade in the Gulf",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260305,2026-03-05,,2026-03-05,"U.S. crude oil jumps after Iran says it attacked a tanker | Jim Cramer: Oil is flashing a bullish signal for stocks amid Iran war | 'A big burden for farmers': Gulf shipping crisis threatens food price shock | Supply chain crisis | Oil price continues to rise amid Middle East crisis but stock markets rebound across Asia | Iran war and stocks: Global X says double down on emerging markets | Tanker traffic in the Strait of Hormuz comes to a standstill | Stock market falls resume as US-Israel war with Iran drives up oil and gas prices | 2 reasons why stocks are rallying Wednesday, defying Iran war fears",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260306,2026-03-06,,2026-03-06,"Surging energy prices and threats to shipping. How the Middle East war could hurt the global economy | Asia markets set to open lower as Iran conflict sends oil prices soaring | Iran war live updates: US temporarily lets India buy Russian oil amid energy fears; Israeli military launches strikes on Beirut | U.S. offers India a 30-day waiver for Russian oil amid supply worries | 'We're powerless &#x2026; and hoping nothing hits us': trapped on a tanker as Iran war escalates | Shipping industry | Iran war briefing: US lets India buy Russian oil after energy prices jump | Oil falls as U.S. may intervene in futures market, issues waiver for Russian purchases | Oil price heading for biggest weekly gain in four years, as strait of Hormuz traffic grinds to a halt &#x2013; business live",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260309,2026-03-09,,2026-03-09,"Iran war threatens prolonged impact on energy markets as oil prices rise | Japan, South Korea stocks tumble over 6% as oil tops $100 amid broader Asia market rout | There's another energy market that may get hit harder than oil by Strait of Hormuz closure | Find safety and income in these tax-exempt bonds as Iran war stirs up the market | Bond Traders Pile Into Inflation Hedges as War Drives Up Oil | This homebuilding play is one of the most oversold stocks amid this week's market turmoil | Kuwait cuts oil production due to Strait of Hormuz closure | Oil prices 'could breach $100 a barrel within days' amid supply disruption from Iran war | Oil",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260310,2026-03-10,,2026-03-10,"Putin says Russia can supply oil, gas to Europe as energy prices soar | Trump's 'free flow of energy' vow fails to restart shipping in strait of Hormuz | Iran | Aramco warns of oil market 'catastrophe' unless strait of Hormuz reopens soon | Aramco | US energy secretary's post saying US escorted tanker in Hormuz deleted | White House: Navy didn't escort oil tanker in Strait of Hormuz | Oil crisis stokes inflation risks for Mideast as Iran war exposes importers | Oil plunges as Trump warns Iran against blockading Strait of Hormuz | Oil prices drop sharply after Trump moves to reassure markets over Iran war",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260311,2026-03-11,,2026-03-11,"Oil prices hold below $90 but WTI crude resumes rally | Oil jumps, stocks drop as Mideast war prolongs market volatility | The price of Brent crude oil is going crazy &#x2014; but who is 'Brent'? | US Navy tells shipping industry Hormuz escorts not possible for now | White House says US Navy has not escorted tanker through Strait of Hormuz | US targets Iran mine-laying as war causes oil market havoc | US attacks Iran's mine-laying boats in strait of Hormuz as tensions rise over oil | Strait of Hormuz | Iran sends millions of oil barrels to China through Strait of Hormuz even as war chokes the waterway",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260312,2026-03-12,,2026-03-12,"Middle East crisis live: Iran steps up attacks on ports, tankers and oil terminals in campaign to disrupt energy markets | US-Israel war on Iran | CNBC Daily Open: Oil market reserve release fails to calm crude prices | Iran war threatens to upend stocks, bonds and the US dollar | Middle East war creating 'largest supply disruption in the history of oil markets' | Oil | Jim Cramer says these 3 stock market themes could work if the oil shock eases | Ukraine war briefing: row between Kyiv and Hungary over pipeline carrying Russian oil deepens | Oil prices jump: IEA record reserve release, markets doubt relief | CNBC Daily Open: Oil and trade tariff uncertainty rattle global markets",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260313,2026-03-13,,2026-03-13,U.S. allows temporary purchases of Russian oil already at sea to stabilize energy markets | Jim Cramer: Don't let Iran war-induced market volatility scare you out of stocks | Ukraine war briefing: Putin envoy says US better understands importance of Russian oil amid energy crisis | US eases Russia oil sanctions as Iran war pushes up energy prices | Oil stays above $100 a barrel amid Iran's stranglehold on Strait of Hormuz | US-Israel war on Iran News | U.S. Treasury yields hold steady ahead of key inflation data | The market won't bottom until investors get more scared. Watch this 'VIX' level | Warren: State should give more aid to Americans stuck in Middle East,mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260316,2026-03-16,,2026-03-16,"Strategic oil release may calm markets but cannot fix Hormuz disruption | Bessent says Treasury is not intervening in oil commodities markets and has no authority to do so | Oil eases, equities rise as market focuses on Strait of Hormuz | Pakistan-bound oil tanker passes through Hormuz Strait amid Iran war | Trump threatens to strike Iran's Kharg Island oil network if shipping lanes remain blocked | Week in review: How we navigated the Iran war-driven surge in oil that slammed stocks | Why the US Attack on Iran's Kharg Island Is a Worry for Oil Markets | U.S. oil tops $100 as Trump threatens strikes on Iran's crude facilities",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260317,2026-03-17,,2026-03-17,"Oil price WTI, Brent: uncertainty over U.S.-led Hormuz shipping coalition | Iran hits UAE energy supplies, tanker struck near Strait of Hormuz | Iran War: Oil and Gas Supply Squeeze and Strait of Hormuz Disruption, Explained | Sri Lanka brings in four-day week to eke out stocks of oil and gas hit by Iran war | Hormuz: Trump signals coalition to protect oil tankers not ready yet | Tracking the Strait of Hormuz, gas and oil prices as war with Iran widens | Central Banks Confront Inflation Worries That Have Upended Markets | Strait of Hormuz: As Iran Blocks Key Route, What Can Oil Producers Do?",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260318,2026-03-18,,2026-03-18,"Jim Cramer: Stocks rising despite oil gains signals a new market message | Oil brent WTI: U.S. inventories, UAE attack | Trump waives U.S. shipping law for 60 days to steady oil market | Oil flows again through controversial California pipeline after Trump order | Trump waives US shipping law for oil and gas in bid to lower prices | Fed Rate Cut Bets Fade as Oil Prices, Producer Inflation Exceed Forecasts | Tehran warns Gulf energy installations after oil industry facilities hit in southern Iran | Fed holds interest rates steady as Iran war drives up oil prices and inflation fears",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260319,2026-03-19,,2026-03-19,"Oil jumps 4% as Iranian strikes on Qatar's key energy facility stoke supply worries | European countries and Japan: ready to help on Hormuz, stabilise energy markets | Strait of Hormuz: As Iran Blocks Key Oil Shipping Route, Can Naval Escorts Help? | Inflation dominates Powell's remarks, pressures stocks. Plus, big earnings tonight | Which fuel and energy solutions can Australia implement quickly to be less dependent on foreign oil? | Jim Cramer: You can still find stocks to buy on tough days in the market | Tech stocks: Qatar attack, semiconductor supply chain, LNG, helium | Asia's stock markets dive after attacks on energy facilities in Qatar, Iran | US-Israel war on Iran News",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260320,2026-03-20,,2026-03-20,"Oil, WTI, Brent: U.S. weighs releasing sanctioned Iranian crude | Goldman sees risks of market correction rising &#x2014; and bonds won't help weather it | Israel says Haifa oil refinery hit in Iranian missile attack | Latest Oil Market News and Analysis for March 20 | Work from home and slow down on the road: world's energy watchdog advises emergency measures as oil prices rise | Oil | Iran hits Kuwaiti oil refinery as Israel renews attacks on Tehran | U.S. Treasury yields edge higher as Iran war drives inflation pressure | Gold rebounds, silver extends losses as oil price sparks volatility",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260323,2026-03-23,,2026-03-23,"Stocks, bonds and gold slump while Iran war rages | 'Liquid gold': heating oil thefts rise in Northern Ireland as Iran war sends prices soaring | Energy bills | Oil prices whipsaw as Trump's Hormuz ultimatum and Iran threats keep markets on edge | US lifts sanctions on Iranian oil at sea in bid to ease supply pressures | The Strait of Hormuz is about more than just oil. It feeds 100 million people | US strikes Iran bases threatening blocked Hormuz oil route | US says 'took out' Iran base threatening blocked Hormuz oil route | G7 ready to act to protect global energy supplies, backs Hormuz Strait security",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260324,2026-03-24,,2026-03-24,"California sues Trump energy department over revival of controversial oil pipeline | Trump's 'very good' talks with Iran buy him time with oil and energy markets | US-Israel war on Iran | Oil markets: WTI, Brent, Middle East tensions keep markets on edge | Brent crude oil back over $100 a barrel as optimism over Middle East de-escalation fades &#x2013; business live | The charts to watch in tech, gold and emerging market stocks as volatility persists | Bahrain proposes UN Security Council approve use of force to protect Hormuz shipping | Iran attacks in Strait of Hormuz are 'economic terrorism,' UAE oil exec says | Asia markets: Oil, Nikkei 225, Hang Seng Index, Kospi",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260326,2026-03-26,,2026-03-26,"Oil price: WTI, Brent after Iran rejects direct U.S. talks | The oil market is in 'backwardation' &#x2014; what it means for energy prices | European markets: Stoxx 600, FTSE, DAX, CAC, Iran war news, oil prices | Iran war: India's fertiliser supply under strain after Hormuz blockade | Fears net zero is 'next Brexit' as oil crisis fuels political climate divide | Renewable energy | Trump says oil and stock market reaction to Iran conflict not as severe as he expected | Trump says Iran let 10 oil ships through Strait of Hormuz as 'present' to U.S. | Trump suggests that Iran let ten oil tankers through Strait of Hormuz",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260327,2026-03-27,,2026-03-27,"Oil price: WTI, Brent after Trump signals Strait of Hormuz easing tensions | CNBC Daily Open: Could the Strait of Hormuz be close to reopening? Markets cast doubt | Middle East crisis live: Trump pausing strikes on Iran energy sites; Houthis say 'no reason' to halt Red Sea shipping | US-Israel war on Iran | The Strait of Hormuz is not just an oil chokepoint | Saudi, UAE, Iraq: Can three pipelines help oil escape Strait of Hormuz? | The key to this stock market is oil &#x2014; what investors need to consider | Dow on verge of correction as Iran war and inflation cloud outlook for markets | These inflation-protected plays can help investors manage the impact of higher prices",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260330,2026-03-30,,2026-03-30,"Oil price: WTI, Brent as Yemen's Houthis enter Israel-Iran war | Brent Crude rises after Trump says he wants to 'take the oil' in Iran; Starmer to gather business leaders to discuss emergency measures &#x2013; business live | Business | G7 ready to take 'necessary measures' to ensure energy market stability | Oil and Gas News | US Stocks Crater Under Iran, Oil Pressure | Uncertainty over war-induced oil crisis dominates key energy summit | Wall Street Selloff Deepens as Iran War Hits Stocks, Bonds, Bitcoin | How Trump and the oil markets move in sync: A tango in six charts | Iran war-hit oil prices will soon rise if Hormuz stays shut",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260331,2026-03-31,,2026-03-31,"Asia-Pacific markets fall amid crude oil prices volatility | Oil price: WTI, Brent as Trump threatens energy sites without a deal | Live updates: Iran war news, Kuwaiti oil tanker attack, Trump threatens Iran's energy facilities | Giant oil tanker off Dubai hit by Iranian strike, Trump threatens to obliterate Iran energy, oil plants | Stocks, bonds and commodities: How markets have traded the Iran war | Kuwaiti tanker hit by Iranian attack in Dubai port, raising oil spill fears | Middle East crisis live: oil spill warning after tanker attacked in Dubai; explosions in Tehran and Jerusalem amid wave of attacks | More drilling in North Sea 'not the answer' for UK energy security, say former military leaders | Oil",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260401,2026-04-01,,2026-04-01,"Strait of Hormuz: Trump administration believes it will have to end Iran war with oil chokepoint still closed | Oil prices extend gains after record monthly rally as Iran war fuels supply worries | Oil tumbles below $100 a barrel and stock markets soar on hopes Middle East war will end soon &#x2013; business live | Oil price falls and markets rally after Trump says Iran war over in 'two to three weeks' | US-Israel war on Iran | UK food inflation 'could hit 9% this year' as Iran war drives up energy prices | Food & drink industry | Oil supply crunch will worsen in April, IEA warns | UK to host multi-nation meeting on Hormuz shipping Thursday | Stocks soar on hopes of Iran war resolution &#x2014; plus, Lilly takes a big swing in sleep disorders",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260402,2026-04-02,,2026-04-02,"Hormuz chokepoint: Iran turns Larak Island into oil checkpoint | Polymarket and other prediction platforms driving oil market, traders say | Trump's threat to hit Iran 'extremely hard' jolts Asian stocks, U.S. futures and oil | Oil price rises and markets slide after Trump warning to Iran | Trump Iran war speech points to even deeper oil supply disruption | Here are 3 ways to ignite a 2026 rally in beaten-down bank stocks | &#x30D1;&#x30AD;&#x30B9;&#x30BF;&#x30F3;&#x3068;&#x30A2;&#x30D5;&#x30AC;&#x30CB;&#x30B9;&#x30BF;&#x30F3;&#x5354;&#x8B70;&#x958B;&#x59CB;&#x3001;&#x4E2D;&#x56FD;&#x4EF2;&#x4ECB;&#x3000;&#x65B0;&#x7586;&#x30A6;&#x30EB;&#x30E0;&#x30C1;&#x3067; | &#xFF2E;&#xFF39;&#x5916;&#x70BA;&#x5E02;&#x5834;&#xFF1D;&#x30C9;&#x30EB;&#x4E0B;&#x843D;&#x3001;&#x4E2D;&#x6771;&#x505C;&#x6226;&#x671F;&#x5F85;&#x3067;&#x300C;&#x6709;&#x4E8B;&#x306E;&#x30C9;&#x30EB;&#x8CB7;&#x3044;&#x300D;&#x306B;&#x5DFB;&#x304D;&#x623B;&#x3057;",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260406,2026-04-06,,2026-04-06,"'It's all fear and headlines': energy traders race to keep pace with volatile oil markets | Oil | Iraq Tells Buyers to Collect Oil After Iran Allows Its Crude Through Hormuz | Libya's oil disputes mirror Hormuz crisis, fuel European energy fears | Oil and Gas News | Oil, strait of Hormuz and empty threats: a timeline of Trump's flip-flopping on the Iran war | Donald Trump | Cubans study oil tanker diplomacy for signs of progress in secret talks with US | Slovak PM says EU should drop sanctions on Russian oil and gas to boost energy security | Ukraine hits port in Russia's Primorsk, oil refinery in Nizhny Novgorod | News | Iranian drone strikes hit Kuwait's oil infrastructure before Opec+ supply talks | Oil",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260407,2026-04-07,,2026-04-07,"What alternatives to Hormuz do Gulf energy producers have? | European stocks tick higher as Iran war deadline unsettles markets | Asian Coal Bonds Beat Peers as Iran War Triggers Energy Rethink | Strait of Hormuz shipping blockade update | Strait of Hormuz blockage upends global helium supply. This U.S. company could benefit | Play defense with these dividend stocks, says Jefferies | A great earnings season is likely around the corner. Will it matter to the market? | Jim Cramer says potential stock market bottom is tied to interest rates, not war headlines",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260408,2026-04-08,,2026-04-08,"U.S.-Iran ceasefire: gold, oil, stocks, treasuries | Oil prices plunge 15% to below $100, stocks surge and dollar slumps after Trump announces US-Iran ceasefire &#x2013; business live | Will shipping in the strait of Hormuz &#x2013; and oil prices &#x2013; return to normal? | Oil prices drop and stocks rally after Trump's ceasefire announcement | Oil prices plunge and stocks jump after Trump announces conditional ceasefire with Iran | Oil prices slide, stocks surge as Trump announces two-week Iran ceasefire | Asian tech stocks surge as U.S.-Iran cease fire ease Hormuz disruption worries | In Strait of Hormuz, Iran and China take aim at US dollar hegemony",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260409,2026-04-09,,2026-04-09,"Oil prices: WTI, Brent, Iran accuse U.S. of ceasefire breach | Hormuz Strait oil traffic down after ceasefire; Hassett credits one tanker | 'Mental breakdown': oil tanker workers stuck in Gulf for six weeks are reaching their limit | Shipping industry | Fundstrat's Tom Lee says the market has bottomed, stocks are headed to all-time highs | Brent oil spot price above $120 as ceasefire fails to solve deep disruption | Oil prices plunge, stocks surge on US-Iran ceasefire | Jim Cramer says the market's rally is a peek into what stocks are worth buying | Crude rises, stocks fall on fears over nascent Iran ceasefire",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260410,2026-04-10,,2026-04-10,"Oil price: WTI, Brent, Saudi pipeline attack, Middle East war | Dated brent: What this real-world oil price says about market stress | Iran attacks on crucial Saudi pipeline and production facilities slash kingdom's oil output | Shipping toll for Hormuz passage sharply divides nations | Attacks cut Saudi oil output and East-West pipeline flow, state news agency says | Trump says Iran 'better stop' tolling oil tankers in Hormuz Strait | Asia-Pacific markets: Iran, U.S., ceasefire, deal, oil | Trump says Iran doing 'poor job' of letting oil through Hormuz",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
