event_id,event_date,effective_trading_date,direction,channel,event_description,selection_reason,source_url,include_high
WEB20260629,2026-06-28,2026-06-29,deescalation,internet_narrative,Iran and the United States agreed to halt renewed Gulf hostilities and resume Hormuz talks.,The weekend agreement reduced the risk that recent tit-for-tat strikes would collapse the interim peace process.,https://www.reuters.com/world/asia-pacific/us-carries-out-fresh-strikes-against-iran-after-tanker-struck-hormuz-escalating-2026-06-27/,1
WEB20260707,2026-07-07,2026-07-07,escalation,internet_narrative,The United States resumed strikes and revoked Iran's oil-sale license after three tankers were hit in Hormuz.,"The combination of renewed attacks, tanker incidents, and oil sanctions directly increased military and supply risk.",https://www.reuters.com/world/middle-east/ship-hit-hormuz-millions-march-ayatollah-iran-says-no-talks-unless-trump-halts-2026-07-07/,1
WEB20260709,2026-07-09,2026-07-09,escalation,internet_narrative,Iran attacked U.S. military targets across Gulf states in retaliation for U.S. strikes.,Direct attacks on U.S. facilities widened the conflict and undermined the existing ceasefire.,https://www.reuters.com/world/middle-east/iran-says-it-hits-us-military-targets-gulf-prepares-bury-slain-leader-2026-07-09/,1
WEB20260713,2026-07-11,2026-07-13,deescalation,internet_narrative,The United States and Iran agreed to continue talks focused on free access through Hormuz.,The weekend announcement improved the diplomatic outlook and addressed the conflict's central energy-market channel.,https://www.reuters.com/world/asia-pacific/trump-says-us-iran-agree-continue-talks-ceasefire-over-2026-07-11/,1
WEB20260715,2026-07-15,2026-07-15,escalation,internet_narrative,The United States reimposed its naval blockade and launched strikes; Iran retaliated against U.S. regional sites.,The renewed blockade and direct exchange of attacks represented a major reversal of de-escalation expectations.,https://www.reuters.com/world/middle-east/iran-threatens-block-more-vital-seaways-trump-orders-renewed-iran-blockade-2026-07-15/,1
WEB20260727,2026-07-25,2026-07-27,escalation,internet_narrative,The conflict spread toward the Red Sea and Caspian while Gulf strikes temporarily paused.,The weekend development broadened the geographic scope of the war and threatened additional shipping routes.,https://www.reuters.com/world/asia-pacific/iran-war-spreads-red-sea-caspian-gulf-quiet-us-forgoes-strikes-2026-07-25/,1
WEB20260805,2026-08-05,2026-08-05,deescalation,internet_narrative,"Iran, Oman, and the United States were reported close to an agreement on Hormuz access.",A prospective shipping agreement could restore a major global oil route and pave the way for wider negotiations.,https://www.aljazeera.com/news/2026/8/5/iran-oman-us-close-to-hormuz-deal-what-do-they-all-want,1
WEB20260901,2026-09-01,2026-09-01,escalation,internet_narrative,The United States launched major new strikes on IRGC sites and Iran retaliated against U.S. regional bases.,The largest exchange since July sharply increased military risk and further threatened Hormuz oil flows.,https://www.reuters.com/world/middle-east/iran-urges-us-comply-with-interim-deal-after-trump-threatens-further-strikes-2026-09-01/,1
WEB20260917,2026-09-17,2026-09-17,escalation,internet_narrative,Saudi-Houthi fighting intensified and a tanker caught fire in the Strait of Hormuz as renewed U.S. attacks were considered.,The event simultaneously threatened the Red Sea and Hormuz routes and raised the probability of renewed U.S.-Iran escalation.,https://www.reuters.com/world/middle-east/trump-hopes-iran-war-nearing-end-houthi-saudi-fighting-escalates-2026-09-17/,1
WEB20260922,2026-09-22,2026-09-22,deescalation,internet_narrative,Iran offered to reopen the Strait of Hormuz within a week if the United States eased military pressure and lifted its blockade.,The conditional reopening offer materially reduced expected near-term oil-supply disruption and revived diplomatic prospects.,https://www.reuters.com/world/middle-east/iran-ready-reopen-strait-hormuz-if-us-eases-military-pressure-lifts-blockade-2026-09-22/,1
